"letter","xbox","ybox","width","height","onpix","xbar","ybar","x2bar","y2bar","xybar","x2ybar","xy2bar","xedge","xedgey","yedge","yedgex","RowID"
"Q",4,6,4,8,5,8,10,5,1,5,8,11,2,10,5,10,15136
"A",3,7,5,5,3,10,2,2,2,9,1,8,2,6,3,8,6951
"N",5,8,7,6,7,6,8,3,4,8,7,9,6,9,5,5,18625
"C",2,4,3,6,1,5,7,7,9,NA,6,14,1,9,4,9,9338
"K",7,15,8,8,5,9,6,3,6,11,2,7,5,7,4,9,10712
"A",3,3,5,4,1,9,3,3,2,8,2,9,3,6,2,8,790
"M",4,2,5,4,4,9,6,6,4,6,7,6,8,6,2,6,12788
"F",5,11,5,8,2,0,13,5,4,13,11,7,0,8,2,5,13315
"A",5,9,8,6,6,9,5,2,5,8,1,6,3,7,4,7,18992
"R",4,10,6,8,6,7,7,6,6,7,6,7,3,7,5,9,12998
"K",3,2,4,3,2,5,7,NA,7,6,6,11,3,8,5,9,15537
"W",7,10,7,8,8,5,10,3,3,9,7,7,8,11,3,6,1013
"M",3,7,4,5,4,9,6,5,4,6,7,6,7,5,2,6,17326
"I",1,6,0,4,0,7,7,5,3,7,6,8,0,8,0,8,10259
"T",10,14,8,8,3,4,12,3,8,12,8,4,2,9,3,4,18485
"M",5,5,6,4,4,8,6,6,5,6,7,8,10,6,4,6,16038
"O",4,9,5,6,2,8,8,9,7,6,7,9,3,8,4,8,8075
"J",4,8,5,6,3,7,7,3,6,15,6,9,1,6,1,7,10597
"U",6,10,7,7,5,3,8,5,7,9,8,10,5,8,3,4,15211
"I",1,3,1,2,0,7,7,1,7,7,6,9,0,8,2,8,17262
"B",5,11,8,8,11,9,7,4,4,6,7,7,8,8,8,7,1975
"R",4,5,6,4,4,8,8,4,5,9,5,7,3,6,4,10,12048
"C",5,6,5,NA,2,5,9,6,8,12,9,10,2,9,3,7,3602
"R",3,8,4,5,2,6,10,9,4,7,4,8,3,7,5,11,17664
"G",7,9,10,8,11,7,7,6,3,7,7,8,8,10,9,9,15380
"T",6,7,6,5,3,7,10,2,10,11,9,4,1,11,4,5,5256
"K",4,5,7,4,4,5,7,2,8,10,9,10,3,8,4,6,747
"S",7,10,5,5,2,9,2,3,4,9,2,9,3,6,5,10,2301
"Z",5,9,7,6,4,6,9,3,10,11,9,5,2,8,6,5,14671
"T",3,10,5,7,1,7,15,0,6,7,11,8,0,8,0,8,9394
"U",4,5,5,4,3,6,8,6,7,7,9,10,3,9,1,8,18168
"M",4,8,6,6,7,9,NA,5,5,6,7,6,8,7,2,6,10832
"L",2,1,2,2,1,4,4,4,7,2,1,6,0,7,1,6,16124
"Q",6,9,7,11,7,9,5,7,4,9,5,11,4,8,6,6,16123
"C",1,0,2,0,0,7,7,6,8,7,6,13,0,8,4,10,16935
"Y",7,9,7,6,5,5,9,1,8,10,10,6,3,11,5,3,7995
"A",2,3,4,4,2,8,3,1,2,7,2,8,2,6,2,7,2577
"Z",6,12,6,6,4,6,7,NA,9,11,7,8,3,7,6,6,2745
"G",4,6,5,4,6,8,6,4,2,6,6,9,6,8,6,11,11906
"X",4,3,4,5,1,7,7,4,4,7,6,8,3,8,4,8,17636
"Q",3,6,4,8,4,8,11,4,3,NA,9,11,2,10,5,8,1751
"K",6,9,7,4,3,5,8,3,5,9,9,10,5,10,3,6,4425
"M",8,9,11,7,7,6,7,3,5,9,9,9,8,6,2,8,17192
"R",2,4,3,3,3,7,8,5,5,7,5,7,2,6,4,8,9928
"F",3,4,3,6,1,0,11,4,7,12,12,9,0,8,2,6,4268
"Z",4,8,5,6,2,7,7,4,14,9,6,8,0,8,8,8,8045
"U",6,10,5,5,3,4,4,4,5,4,7,7,4,6,2,8,15162
"Y",7,6,6,9,4,6,8,4,2,7,10,5,4,10,5,6,2278
"D",3,6,4,4,3,7,7,6,5,7,7,6,3,8,3,7,16394
"V",4,8,6,6,3,6,12,2,4,6,11,9,2,10,1,8,8749
"N",2,1,2,2,1,7,8,6,4,7,6,7,4,8,1,7,17395
"A",3,8,5,6,3,NA,2,2,2,9,2,9,2,6,3,7,15295
"F",3,4,4,6,1,1,13,5,3,12,10,6,0,8,2,6,10681
"C",6,10,8,8,5,8,7,8,7,7,6,9,4,8,4,9,19276
"F",4,8,4,5,2,1,12,5,5,12,10,8,0,8,2,6,15626
"E",1,3,3,2,2,6,8,2,7,11,7,9,2,8,4,NA,917
"P",3,5,4,3,2,6,9,5,4,9,7,3,1,10,4,6,15428
"N",4,8,6,6,5,8,8,5,5,6,6,5,6,10,2,5,1502
"F",4,8,6,6,4,7,9,2,6,13,6,5,2,10,2,8,1888
"M",2,0,2,1,1,7,6,10,0,7,8,8,6,6,0,8,11210
"A",3,2,5,4,2,8,2,2,2,8,1,8,2,6,3,7,5625
"X",4,4,5,6,1,7,7,5,4,7,6,8,3,8,4,8,9640
"O",5,11,6,8,3,7,8,9,8,7,8,8,3,8,4,8,6755
"Q",3,6,4,7,4,9,7,7,NA,5,6,10,3,8,6,10,12032
"R",4,7,6,5,6,6,8,3,4,6,6,9,6,10,7,5,3351
"T",3,7,4,5,2,4,13,4,6,12,9,4,1,11,1,5,16193
"B",2,3,NA,2,2,7,7,5,5,7,6,6,2,8,5,9,1127
"Q",4,9,5,8,5,8,6,8,6,5,4,7,2,8,4,8,16533
"R",2,4,3,3,2,10,6,3,5,10,3,7,2,7,3,10,18915
"K",4,2,5,3,3,5,7,4,7,7,6,11,3,8,5,9,12910
"S",4,8,5,6,4,7,9,7,7,8,4,6,2,7,9,9,5373
"B",4,9,4,6,3,6,7,9,7,7,6,7,2,8,9,10,306
"W",NA,8,6,6,6,10,12,2,2,5,8,8,6,11,0,8,9616
"M",4,10,5,8,6,7,5,11,1,7,9,8,8,6,1,9,5407
"O",5,11,6,8,6,7,8,7,3,10,8,8,4,7,5,10,17484
"B",5,7,7,5,5,10,6,3,7,11,3,6,4,6,6,11,17988
"S",4,7,5,5,3,7,7,4,8,11,5,7,2,8,5,8,7384
"G",3,6,4,4,2,6,7,5,5,5,7,8,2,8,4,8,16250
"K",5,9,8,6,6,7,7,1,6,10,5,9,3,7,3,8,9196
"D",5,4,5,6,NA,5,8,10,9,7,7,5,3,8,4,8,5507
"M",5,11,7,8,8,9,7,5,4,6,7,5,9,7,3,5,5759
"D",5,8,7,6,5,10,5,2,7,11,3,7,4,7,3,9,3968
"M",5,10,6,8,4,8,7,13,2,6,9,8,8,6,0,8,4091
"S",4,10,6,8,7,8,8,5,3,8,5,7,4,9,11,8,9240
"G",2,4,3,6,2,7,7,8,6,5,7,9,2,7,5,11,322
"W",3,8,5,6,5,6,11,2,2,7,8,8,6,11,1,8,1942
"T",9,12,8,6,3,4,12,3,8,13,8,4,2,8,4,3,17011
"R",3,4,4,6,3,5,11,8,4,7,2,9,3,7,6,11,19317
"I",4,7,6,8,6,9,8,5,5,7,5,7,3,8,9,8,13051
"P",5,6,5,8,3,4,12,9,2,10,6,4,1,10,4,8,3354
"X",6,12,6,6,3,10,6,3,8,9,2,6,4,6,4,10,17684
"H",4,9,5,6,2,7,6,15,1,7,8,8,3,8,0,8,1869
"D",8,14,8,8,5,9,5,4,6,10,3,7,5,6,5,10,13494
"R",4,8,7,7,7,6,8,4,3,6,5,9,8,7,6,9,19509
"S",3,8,4,6,3,9,7,7,6,7,6,8,2,9,9,8,12605
"O",7,10,5,5,3,5,7,6,4,10,7,9,5,10,5,7,12127
"Z",4,5,5,7,2,7,7,4,15,9,6,8,0,8,8,8,1671
"L",2,5,3,4,2,4,4,5,7,2,2,6,1,6,1,6,12033
"R",4,6,6,4,5,7,7,3,4,6,6,8,6,9,6,6,3718
"B",3,4,5,3,3,7,8,3,5,10,6,6,2,8,5,9,2530
"A",2,1,4,2,1,8,2,2,1,7,2,8,2,6,3,6,3758
"W",4,2,6,3,3,9,11,3,2,5,9,8,8,11,2,8,18596
"K",5,10,8,8,9,6,6,4,4,6,5,9,8,7,8,8,10128
"H",3,8,4,5,2,7,7,15,1,7,6,8,3,8,0,8,6981
"W",6,10,8,8,9,7,9,6,4,7,9,7,7,7,5,10,7026
"H",1,0,2,1,0,7,7,11,1,7,6,8,3,8,0,8,9735
"O",3,9,5,6,4,8,8,8,4,7,8,8,3,8,3,8,16072
"V",2,1,3,1,0,7,9,4,2,7,13,8,2,10,0,8,6064
"A",5,11,7,8,4,8,3,2,3,7,1,8,2,7,3,7,609
"J",3,11,4,8,4,10,7,0,7,11,3,6,0,7,1,7,7466
"G",5,10,6,7,4,6,7,7,7,10,7,11,2,10,4,9,19921
"R",4,7,6,5,6,8,6,6,3,8,6,8,4,7,7,10,18361
"O",3,6,4,4,2,7,6,8,5,7,5,9,3,8,3,8,14180
"S",1,1,2,2,0,8,8,4,7,5,6,7,0,8,7,8,6051
"F",3,7,4,5,3,5,10,4,5,10,10,6,2,10,3,6,18592
"X",3,5,5,3,2,7,NA,1,8,10,6,8,2,8,3,8,12883
"W",3,6,5,4,7,9,7,5,1,7,6,8,7,10,2,7,10535
"C",1,0,2,1,0,6,7,6,9,7,6,14,0,8,4,10,6965
"S",4,5,6,5,6,8,7,5,5,7,6,7,5,8,9,10,8095
"J",2,6,2,4,2,8,7,0,6,10,5,7,0,7,1,7,9183
"B",5,8,7,6,6,10,6,3,6,10,4,7,4,7,5,10,12004
"P",4,10,5,7,3,5,10,10,3,9,6,4,2,10,4,8,11024
"K",5,6,7,5,6,7,7,2,4,7,3,9,6,4,8,10,4198
"S",2,7,3,5,3,8,7,5,7,5,6,6,0,8,8,8,8664
"D",5,10,7,7,6,11,6,2,6,11,3,7,3,8,3,9,1612
"W",5,9,6,7,8,7,9,5,3,7,9,8,6,8,3,8,47
"B",4,7,6,5,4,8,8,4,6,10,5,6,2,8,6,8,5727
"X",3,1,4,2,2,8,7,3,9,6,6,8,3,8,6,8,17305
"P",2,1,3,2,2,5,9,5,4,9,7,4,1,10,3,7,2946
"T",5,8,7,6,7,8,8,6,7,8,6,8,5,7,5,6,7080
"C",5,8,5,6,3,5,7,5,6,11,8,13,2,9,4,8,5828
"O",3,4,4,2,2,7,7,7,5,7,5,8,2,8,3,8,13545
"X",4,8,5,5,1,7,7,4,4,7,6,8,3,8,4,8,12623
"M",3,4,5,3,3,8,6,6,4,7,7,8,7,5,2,7,2407
"I",7,12,5,6,2,10,5,6,4,13,3,8,3,8,5,10,1180
"X",7,15,8,8,5,11,7,2,7,11,3,5,3,11,4,9,16479
"G",2,1,3,2,2,7,6,6,5,6,6,10,2,9,4,9,15118
"F",2,4,2,2,1,5,10,4,4,10,9,5,1,10,3,7,16879
"O",3,6,4,4,2,7,7,7,5,10,6,8,3,8,3,8,12450
"J",7,9,5,13,4,6,9,3,3,12,6,5,3,8,8,8,3470
"O",2,3,3,1,1,8,7,7,5,7,6,8,2,8,3,8,9336
"M",4,4,6,3,3,10,6,3,4,9,4,7,7,6,2,8,3416
"M",4,10,5,8,6,7,6,10,0,7,8,8,7,5,0,8,9821
"L",8,13,8,7,5,8,4,3,5,11,6,11,3,7,7,8,9289
"X",4,9,6,7,3,10,7,2,8,10,1,7,3,8,4,9,6971
"C",1,0,1,1,0,6,7,6,8,7,6,14,0,8,4,10,16421
"W",4,6,5,4,2,11,8,5,1,6,9,8,8,10,0,8,11236
"Z",4,10,6,8,4,6,9,2,9,11,8,7,2,10,7,6,19520
"A",1,0,2,1,0,8,4,2,0,7,2,8,1,7,1,8,15894
"R",5,8,7,6,7,7,10,3,5,5,6,9,6,7,7,7,16030
"P",3,6,4,4,3,5,11,7,3,10,7,2,1,10,3,6,17239
"G",3,4,4,3,2,6,7,5,5,9,7,10,2,9,4,9,14937
"T",2,5,3,4,2,7,12,3,6,7,11,8,2,11,1,8,14952
"U",3,6,5,4,4,8,8,8,5,6,7,9,3,8,4,6,2087
"G",7,12,6,7,3,10,4,4,4,10,3,6,4,7,5,9,2392
"K",3,6,4,4,1,4,8,8,1,7,6,11,3,8,3,11,2651
"J",3,10,4,8,1,13,1,9,5,14,2,12,0,7,0,8,14236
"E",6,11,4,6,2,7,8,5,7,8,4,12,1,7,7,8,9494
"A",2,3,3,2,1,10,2,2,1,9,2,9,1,6,2,8,8978
"Y",3,4,5,6,1,6,10,3,2,9,13,8,1,11,0,8,202
"Z",5,5,6,8,3,7,7,4,15,9,6,8,0,8,8,8,6205
"W",3,9,5,6,3,4,8,5,1,7,8,8,8,10,0,8,14302
"O",4,8,4,6,4,8,7,7,3,9,6,9,3,8,2,8,12230
"O",7,10,9,7,11,7,8,5,2,7,6,8,12,11,9,12,8358
"B",4,9,6,6,7,9,6,4,4,6,7,7,7,9,8,6,15688
"N",5,10,7,7,5,7,8,6,6,6,6,6,6,8,1,6,7411
"L",6,9,8,8,7,7,7,4,6,7,7,8,3,8,9,10,5410
"O",2,5,3,4,2,8,7,7,4,9,6,8,2,8,3,8,10904
"A",2,2,4,4,2,8,2,1,2,7,2,8,2,7,3,7,19893
"R",7,10,9,8,11,7,7,3,5,6,6,9,7,9,7,6,4139
"X",5,9,6,6,5,7,6,3,5,6,6,9,3,7,10,9,17303
"A",2,4,4,3,2,7,2,2,2,5,2,8,2,5,2,7,17979
"U",2,4,3,3,1,4,8,5,6,11,9,9,3,9,1,7,14584
"J",2,10,3,7,1,15,2,6,6,14,0,9,0,7,0,8,888
"Z",3,5,5,4,3,7,8,2,9,12,6,8,1,8,5,7,19503
"U",10,14,9,8,5,6,6,5,5,6,8,9,7,7,4,10,NA
"Z",2,3,4,2,1,7,7,2,9,11,6,8,1,8,5,7,18548
"B",4,7,6,5,4,7,8,6,5,9,6,6,3,8,6,8,17655
"J",1,3,2,2,1,11,6,2,5,11,4,8,0,7,0,7,9573
"L",3,NA,4,6,2,7,4,0,9,9,2,11,0,7,2,8,2697
"Z",8,14,8,8,5,11,4,5,8,12,3,10,4,4,8,12,11907
"I",4,10,5,8,2,7,9,0,8,14,6,6,0,10,2,7,9180
"V",3,8,5,6,2,7,11,3,4,6,12,8,3,10,1,8,19577
"G",2,4,3,3,2,6,7,5,5,9,7,10,2,8,4,9,19428
"W",5,9,7,7,4,10,8,5,2,6,8,8,9,10,0,8,6650
"O",4,9,5,7,5,8,6,7,4,9,4,8,3,8,2,8,12683
"G",5,6,5,4,3,6,7,6,5,10,8,10,2,9,4,9,12595
"X",2,5,4,4,2,7,7,3,9,6,6,8,2,8,6,8,12802
"A",4,11,7,8,4,11,2,2,3,9,2,9,5,6,3,9,15785
"U",5,9,5,4,3,7,6,4,5,6,7,8,5,6,3,7,19646
"I",5,11,7,8,4,9,6,2,7,7,6,6,0,9,4,7,5716
"Q",4,9,5,8,3,8,6,9,5,6,6,8,3,8,5,9,5659
"K",2,3,3,2,2,6,7,4,7,6,6,10,3,8,4,9,2382
"V",3,9,5,7,3,7,11,2,3,6,11,9,2,10,1,8,4078
"V",5,10,5,8,4,3,11,2,3,9,11,8,3,10,1,7,18504
"Z",4,9,5,7,5,8,8,3,8,7,7,7,1,8,11,7,18674
"R",4,10,6,8,6,7,7,4,6,7,6,6,6,8,4,8,6679
"V",6,8,5,6,3,3,12,3,3,10,11,8,2,11,1,8,19449
"O",4,9,4,7,3,8,7,8,5,10,5,9,3,8,4,7,10870
"H",5,9,8,7,5,9,8,3,6,10,4,7,3,8,3,9,6663
"Y",3,4,5,5,1,6,11,2,2,9,12,8,1,10,0,8,3635
"J",2,4,3,7,1,14,2,6,5,14,1,10,0,7,0,8,14481
"N",3,6,5,4,3,6,9,6,4,8,7,8,5,8,1,7,11573
"G",6,11,7,9,5,6,7,8,7,6,6,13,3,8,5,7,3306
"N",6,9,9,7,5,7,9,2,5,10,6,6,6,9,1,8,2158
"A",2,4,4,3,1,12,3,3,2,10,1,9,1,6,2,9,12744
"E",4,10,4,7,3,3,6,6,11,7,7,15,0,8,7,7,19734
"K",4,8,6,6,4,5,7,4,8,7,NA,10,4,8,5,9,4132
"I",4,11,5,8,3,8,6,0,7,13,6,9,1,7,3,8,715
"B",4,7,6,5,6,9,6,4,6,10,5,7,2,8,5,10,15355
"Q",4,9,6,8,3,8,5,9,7,6,4,8,3,8,4,8,14693
"J",0,0,1,0,0,12,4,4,3,11,4,11,0,7,0,8,19549
"W",3,6,5,4,2,10,8,5,1,7,9,8,7,10,0,8,5918
"A",5,10,8,8,6,6,5,2,4,4,2,7,6,7,6,4,13274
"L",3,7,5,5,3,7,4,1,7,8,2,9,1,6,2,8,2671
"P",1,0,2,0,0,5,10,7,2,9,6,5,1,9,3,8,1113
"C",2,3,3,2,1,4,7,4,6,10,9,13,1,9,2,7,105
"J",2,2,4,4,2,10,6,2,7,12,4,9,1,6,1,7,12963
"D",3,4,5,3,3,8,7,6,6,9,5,6,3,8,4,9,19760
"H",4,5,5,7,3,7,7,15,0,7,6,8,3,8,0,NA,5789
"U",5,11,5,8,4,7,5,12,4,7,13,8,3,NA,0,7,5100
"S",3,5,5,3,2,8,7,3,8,11,5,7,1,9,4,8,9703
"Y",1,1,2,1,0,7,10,2,2,7,12,8,1,11,0,8,12917
"D",4,7,4,5,2,5,6,10,9,5,5,6,3,8,4,8,3472
"R",4,8,4,6,4,6,8,9,4,7,NA,8,2,7,5,11,961
"P",4,8,6,6,3,6,11,5,4,12,5,3,1,10,3,8,6617
"I",0,0,0,0,0,7,7,4,4,7,6,8,0,8,0,8,4180
"Y",7,10,7,8,4,2,10,2,6,10,12,7,2,11,2,6,9699
"H",8,11,11,9,7,8,6,3,NA,10,5,8,3,8,3,8,2635
"S",3,8,4,6,3,8,8,7,7,8,5,6,2,8,9,8,10427
"A",5,10,5,6,3,10,2,4,2,11,6,13,5,4,5,10,18222
"Q",8,12,7,7,4,8,5,4,9,10,5,9,3,7,9,10,10157
NA,4,9,4,6,5,6,10,8,3,7,4,9,2,7,5,11,6163
"H",3,6,4,4,2,7,7,14,0,7,6,8,3,8,0,8,2342
"F",6,11,6,8,2,1,12,5,6,12,11,8,0,8,2,5,2316
"Y",6,8,6,6,2,2,12,4,6,13,12,6,1,11,1,6,2674
"Z",1,0,1,0,0,8,7,2,9,8,6,8,0,8,5,8,9032
"H",8,14,8,8,6,10,7,5,5,11,1,6,7,4,5,7,8948
"O",4,6,4,4,3,8,7,7,6,9,5,7,3,8,3,8,10469
"J",1,3,2,2,1,10,6,2,5,12,4,9,0,7,1,7,15732
"P",5,10,5,5,3,9,8,3,5,13,4,4,3,10,6,7,14866
"B",5,9,8,7,7,9,7,3,7,11,4,7,3,7,5,9,4981
"J",1,1,2,2,1,11,6,2,5,11,4,8,0,7,1,7,18607
"G",4,7,5,5,4,6,7,6,4,5,7,9,2,7,4,9,1021
"N",6,5,6,8,3,7,7,15,2,4,6,8,6,8,0,8,14751
"C",4,4,5,7,2,7,6,7,10,9,5,13,1,10,4,9,3274
"C",3,7,4,5,2,6,8,8,8,9,7,12,1,10,4,9,3151
"P",3,6,5,4,3,6,11,3,5,13,6,4,0,10,2,8,5550
"Z",1,0,1,0,0,8,7,2,9,8,6,8,0,8,5,8,19397
"D",4,8,5,6,4,7,8,7,8,8,7,5,3,8,3,7,9403
"V",6,11,6,6,3,7,9,3,4,8,9,6,5,9,3,6,19930
"Z",4,10,5,7,5,7,8,5,9,7,6,9,1,9,7,7,4045
"X",NA,10,7,7,4,9,7,0,8,9,5,7,2,8,3,8,11182
"K",8,11,11,8,7,5,7,2,7,10,8,11,3,8,3,7,18945
"C",4,9,3,4,2,6,8,4,3,9,8,10,3,9,8,9,5017
"N",3,6,4,4,2,7,7,14,2,5,6,8,6,8,0,8,7894
"E",3,8,5,6,5,7,8,5,8,6,5,9,3,8,5,9,10524
"U",1,0,2,0,0,7,6,10,4,7,12,8,2,10,0,8,8600
"S",NA,11,6,6,3,6,9,3,NA,13,8,7,2,9,3,7,11518
"N",3,7,3,5,3,8,8,12,1,NA,6,8,5,9,0,8,12474
"N",4,9,6,6,4,8,9,9,6,8,5,5,3,7,3,7,1283
"I",1,11,0,8,1,7,7,5,3,7,6,8,0,8,0,8,3587
"H",7,10,10,7,8,7,8,2,6,10,7,8,5,9,4,8,9795
"Q",6,14,5,8,5,9,6,4,6,11,5,7,4,8,9,10,4963
"S",2,3,3,2,1,8,7,2,7,10,5,8,1,8,4,8,12296
"S",2,3,4,2,1,8,7,2,6,10,6,8,1,9,5,8,19999
"J",4,9,6,7,3,6,7,3,5,15,6,10,1,6,1,7,1846
"V",3,9,5,6,1,7,8,4,2,7,14,8,3,9,0,8,1911
"V",4,10,6,8,3,8,9,4,2,6,13,8,3,10,0,8,12685
"I",2,6,4,4,3,10,7,2,4,8,5,5,3,9,5,7,15336
"L",3,7,4,5,3,7,4,1,7,8,2,10,0,7,2,8,5569
"S",4,8,5,6,3,8,7,3,7,10,4,7,2,8,5,9,13335
"Q",3,3,4,4,3,8,7,6,2,5,7,9,3,8,5,9,12813
"L",NA,10,3,7,1,0,1,5,6,0,0,7,0,8,0,8,5689
"V",7,10,9,8,6,9,10,4,2,4,10,9,6,10,5,10,16510
"O",5,10,7,8,3,9,6,9,8,7,5,10,3,8,4,8,15012
"N",4,6,6,4,4,8,8,6,6,6,5,4,6,10,3,NA,8134
"N",6,11,7,8,6,7,7,13,1,6,6,8,6,8,0,8,19778
"V",2,6,4,4,1,8,8,4,2,6,13,8,3,10,0,8,4726
"C",3,4,4,6,2,6,7,7,9,8,5,13,1,9,4,9,17527
"Q",4,7,5,8,5,9,9,6,2,4,7,11,3,9,5,10,9579
"F",4,9,6,7,4,3,12,5,4,12,9,5,2,10,2,5,10560
"L",2,6,4,4,2,6,4,3,8,6,2,7,1,6,2,7,2812
"M",4,7,5,5,3,8,7,12,1,6,9,8,8,6,0,8,6624
"F",2,6,3,4,3,6,10,3,5,10,9,5,2,10,3,6,2435
"Z",3,8,4,6,3,7,7,6,10,6,NA,8,1,8,8,8,951
"G",3,7,4,5,2,8,7,8,7,6,6,9,2,7,5,11,15418
"M",8,10,10,6,5,9,3,3,2,9,3,10,8,1,2,9,17818
"U",6,7,6,5,3,3,9,6,7,11,11,9,3,9,1,6,18408
"P",5,8,6,10,9,8,9,3,2,6,8,7,6,10,6,4,18001
"Z",4,7,5,5,3,7,8,2,9,11,7,8,1,NA,6,7,1087
"I",0,0,0,0,0,7,7,4,4,7,6,8,0,8,0,8,15021
"V",7,11,6,6,3,9,8,6,4,7,10,7,7,12,3,8,4360
"T",4,5,5,3,2,6,11,2,8,11,9,4,1,11,3,4,4119
"B",3,6,4,4,4,7,7,4,6,7,6,6,2,8,5,10,19658
"O",5,8,7,6,5,7,8,8,5,6,7,11,4,8,4,8,7353
"S",NA,9,5,5,2,5,9,2,5,13,8,8,2,8,2,6,14567
"K",10,15,10,8,6,5,8,3,6,10,9,10,6,9,4,7,5940
"W",7,9,7,5,3,3,9,3,2,8,11,9,10,11,0,7,12997
"M",5,5,6,8,4,8,7,12,2,6,9,8,8,6,0,8,7595
"L",7,13,6,8,3,10,2,4,4,13,4,13,2,8,6,9,16889
"Y",3,4,5,6,4,9,10,7,4,7,7,6,4,10,5,5,15442
"P",5,5,7,8,8,7,6,4,3,7,7,7,7,11,5,6,3553
"U",4,7,5,5,4,9,7,7,5,7,6,8,3,8,4,6,16380
"R",4,11,4,8,3,6,9,10,5,7,6,8,3,8,6,11,13741
"K",7,9,10,7,6,5,8,2,7,10,8,NA,3,8,4,7,7618
"J",4,10,6,7,3,7,6,3,5,15,7,11,1,6,1,7,13831
"P",3,7,4,5,3,4,12,4,5,11,9,3,0,10,4,7,11353
"D",4,9,6,7,4,9,6,5,7,9,3,6,3,8,3,8,18470
"U",5,5,6,8,2,8,5,14,5,6,15,8,3,9,0,8,2953
"U",9,11,9,8,4,3,10,6,8,13,12,9,3,9,1,6,19752
"O",3,7,4,5,3,8,7,8,5,7,6,9,2,8,3,8,6494
"N",1,3,2,1,1,7,8,5,3,7,7,7,4,8,1,6,221
"M",3,6,6,4,7,6,5,3,1,6,5,8,7,7,2,8,13314
"Y",4,5,5,4,2,4,10,2,8,11,10,5,3,10,4,3,3601
"X",7,11,10,9,5,7,7,1,9,10,6,8,3,8,4,7,11381
"X",3,7,4,5,2,7,7,4,4,7,6,8,3,8,4,8,14334
"R",6,10,8,7,8,8,8,7,5,7,5,8,5,9,7,12,17396
"A",3,9,6,6,3,11,3,2,2,9,2,9,3,5,3,8,1825
"R",4,9,6,7,7,6,8,5,6,7,5,7,3,7,5,9,10901
"S",3,3,4,4,2,7,6,5,9,5,6,9,0,9,9,8,18185
"Q",4,7,5,6,3,8,4,8,8,6,4,8,3,8,4,8,6646
"W",8,8,8,6,5,2,NA,2,3,11,11,9,7,10,1,7,11812
"Q",1,0,2,1,1,8,7,6,3,6,6,9,2,8,3,8,15608
"Y",1,3,2,2,1,5,10,2,7,10,9,5,1,11,2,4,9187
"N",6,10,6,8,3,7,7,15,2,4,6,8,6,8,0,8,2213
"Y",2,1,4,2,1,7,11,1,7,7,11,8,1,11,2,8,13343
"L",3,6,3,4,1,1,0,6,6,0,1,5,0,8,0,8,7197
"Q",6,14,6,8,4,10,3,4,7,11,3,8,3,9,6,13,19119
"H",4,7,5,5,5,7,7,6,6,7,6,8,6,8,3,8,9396
"O",5,9,6,7,5,8,8,8,4,7,7,8,3,8,3,7,10488
"S",1,0,1,0,0,8,7,4,6,5,6,7,0,8,7,8,10695
"D",3,2,4,4,3,7,7,7,6,6,6,5,2,8,3,7,14636
"P",2,3,3,2,1,5,11,3,4,10,8,3,0,9,3,6,3678
"I",4,11,5,8,2,9,5,0,8,14,5,10,0,8,1,9,16659
"Z",1,0,2,0,0,7,7,2,10,8,6,8,0,8,6,8,11602
"U",4,4,5,3,2,4,8,5,7,11,10,9,3,9,1,7,11168
"V",6,9,8,8,10,7,7,5,4,7,6,8,7,9,7,10,16003
"W",7,11,7,8,7,2,10,2,3,10,10,8,7,11,1,7,17148
"Z",5,8,6,6,4,7,8,2,9,11,7,8,1,9,6,7,11208
"H",4,9,5,6,2,7,6,15,1,7,7,8,3,8,0,8,99
"G",2,1,4,2,2,7,7,6,6,6,6,10,2,9,4,9,4979
"W",4,10,6,8,4,8,8,4,2,7,8,8,8,9,0,8,14265
"H",4,7,5,5,4,8,8,6,7,6,5,9,3,8,3,8,9952
"I",0,3,1,2,1,7,7,1,6,7,6,8,0,8,2,8,11228
"N",4,7,6,5,3,4,9,4,4,10,10,9,5,8,1,7,3127
"F",6,7,8,8,8,7,9,4,5,7,7,6,5,9,9,9,1100
"Z",6,7,4,11,4,8,5,4,4,11,6,8,3,9,10,8,17159
"E",2,3,3,5,2,3,7,6,10,7,6,14,0,8,7,8,16939
"B",3,6,5,5,5,6,8,6,4,7,6,8,6,9,7,8,10050
"F",4,7,5,5,5,7,9,5,4,8,6,8,3,10,8,10,10087
"E",5,9,7,6,6,8,7,7,2,7,NA,11,5,8,NA,9,15549
"I",6,10,5,6,3,10,6,4,6,14,3,6,2,9,4,11,14004
"F",2,3,3,1,1,7,9,2,5,13,6,5,1,9,1,8,14799
"B",5,4,5,6,4,7,9,9,8,7,5,7,2,8,9,9,1722
"W",6,8,8,6,7,8,6,6,2,7,7,8,6,8,4,7,11321
"X",3,8,4,5,1,7,7,4,4,7,6,8,3,8,4,8,14059
"U",4,9,4,6,2,7,5,14,5,7,14,8,3,9,0,8,15335
"E",4,9,6,7,5,5,9,3,7,11,9,9,3,9,4,6,2083
"Q",4,7,5,6,3,7,6,8,6,6,7,7,3,8,5,9,1088
"F",2,5,4,4,2,8,9,2,6,13,5,5,1,9,2,8,19490
"S",3,2,3,3,2,8,8,7,5,8,5,7,2,8,8,8,19115
"H",4,2,5,4,3,9,7,6,6,7,6,8,6,8,3,7,9228
"K",4,7,6,5,3,6,7,2,7,10,7,10,3,8,3,8,9353
